la,ld , ave ULP,  max ULP , comm,    time
4,9,  4.19662,   17  , 9472,    754
4,9,  4.20111,   17  , 9472,    699
4,9,  4.19595,   17  , 9472,    695
4,9,  4.1991,   17  , 9472,    687
4,9,  4.19647,   17  , 9472,    802
4,10,  2.58783,   13  , 9536,    858
4,10,  2.58597,   12  , 9536,    782
4,10,  2.58804,   12  , 9536,    832
4,10,  2.5845,   12  , 9536,    815
4,10,  2.58655,   12  , 9536,    872
4,11,  2.05133,   9  , 9600,    888
4,11,  2.04883,   9  , 9600,    919
4,11,  2.04993,   9  , 9600,    823
4,11,  2.05124,   9  , 9600,    838
4,11,  2.04987,   9  , 9600,    824
4,12,  1.82993,   10  , 9664,    800
4,12,  1.83429,   10  , 9664,    908
4,12,  1.83179,   10  , 9664,    869
4,12,  1.83542,   10  , 9664,    850
4,12,  1.83466,   10  , 9664,    893
5,9,  4.15158,   13  , 9856,    963
5,9,  4.15469,   13  , 9856,    1025
5,9,  4.15076,   13  , 9856,    932
5,9,  4.15445,   13  , 9856,    914
5,9,  4.15225,   13  , 9856,    922
5,10,  2.15924,   9  , 9920,    945
5,10,  2.15924,   8  , 9920,    986
5,10,  2.16248,   9  , 9920,    959
5,10,  2.16196,   9  , 9920,    899
5,10,  2.15887,   9  , 9920,    871
5,11,  1.53421,   8  , 9984,    969
5,11,  1.53629,   7  , 9984,    816
5,11,  1.53412,   7  , 9984,    931
5,11,  1.5318,   8  , 9984,    892
5,11,  1.53571,   7  , 9984,    898
5,12,  1.34552,   7  , 10048,    830
5,12,  1.34082,   7  , 10048,    729
5,12,  1.34247,   7  , 10048,    753
5,12,  1.34277,   7  , 10048,    753
5,12,  1.3461,   7  , 10048,    748
6,9,  3.9165,   10  , 10240,    781
6,9,  3.91614,   10  , 10240,    751
6,9,  3.91776,   10  , 10240,    782
6,9,  3.91464,   10  , 10240,    778
6,9,  3.9158,   10  , 10240,    845
6,10,  1.93179,   7  , 10304,    799
6,10,  1.93207,   7  , 10304,    776
6,10,  1.93033,   7  , 10304,    834
6,10,  1.93127,   7  , 10304,    900
6,10,  1.92853,   7  , 10304,    886
6,11,  1.3616,   5  , 10368,    799
6,11,  1.35867,   6  , 10368,    873
6,11,  1.36169,   6  , 10368,    857
6,11,  1.36075,   5  , 10368,    908
6,11,  1.362,   6  , 10368,    919
6,12,  1.13727,   5  , 10432,    860
6,12,  1.13757,   5  , 10432,    900
6,12,  1.1351,   5  , 10432,    862
6,12,  1.13663,   5  , 10432,    861
6,12,  1.13907,   5  , 10432,    889
7,9,  3.22662,   10  , 10624,    849
7,9,  3.22836,   10  , 10624,    854
7,9,  3.22537,   10  , 10624,    888
7,9,  3.22861,   10  , 10624,    835
7,9,  3.23154,   10  , 10624,    833
7,10,  1.5477,   7  , 10688,    845
7,10,  1.54443,   7  , 10688,    858
7,10,  1.54929,   7  , 10688,    925
7,10,  1.54672,   7  , 10688,    886
7,10,  1.54639,   7  , 10688,    877
7,11,  1.09387,   5  , 10752,    924
7,11,  1.09213,   4  , 10752,    987
7,11,  1.09564,   5  , 10752,    986
7,11,  1.09265,   5  , 10752,    871
7,11,  1.1001,   4  , 10752,    870
7,12,  1.08798,   4  , 10816,    855
7,12,  1.09207,   4  , 10816,    852
7,12,  1.09015,   4  , 10816,    864
7,12,  1.09344,   4  , 10816,    841
7,12,  1.09305,   4  , 10816,    824
8,9,  3.16278,   10  , 11008,    850
8,9,  3.16544,   10  , 11008,    808
8,9,  3.16412,   10  , 11008,    859
8,9,  3.16428,   10  , 11008,    914
8,9,  3.16016,   10  , 11008,    867
8,10,  1.51236,   6  , 11072,    894
8,10,  1.50992,   6  , 11072,    866
8,10,  1.51337,   6  , 11072,    890
8,10,  1.51392,   6  , 11072,    867
8,10,  1.51218,   6  , 11072,    938
8,11,  1.16205,   5  , 11136,    962
8,11,  1.16022,   5  , 11136,    888
8,11,  1.16214,   5  , 11136,    951
8,11,  1.15842,   5  , 11136,    887
8,11,  1.16043,   4  , 11136,    912
8,12,  1.0784,   4  , 11200,    933
8,12,  1.07587,   4  , 11200,    900
8,12,  1.07529,   4  , 11200,    942
8,12,  1.07932,   4  , 11200,    930
8,12,  1.07452,   4  , 11200,    985
