la,ld , ave ULP,  max ULP , comm,    time
3,3,  276.59,   1022  , 8088,    1273
3,4,  2250.51,   8702  , 8216,    1158
3,5,  69.89,   254  , 8344,    1202
3,6,  32.6079,   126  , 8472,    1175
3,7,  14.7289,   62  , 8600,    1268
3,8,  7.04837,   33  , 8728,    1188
3,9,  3.26562,   33  , 8856,    1131
3,10,  1.85541,   33  , 8984,    1188
3,11,  1.35349,   29  , 9112,    1175
3,12,  1.20358,   29  , 9240,    1196
3,13,  1.18698,   29  , 9368,    1208
4,3,  93.8207,   516  , 8544,    1334
4,4,  110.288,   8214  , 8672,    1268
4,5,  24.2479,   142  , 8800,    1339
4,6,  12.7416,   79  , 8928,    1186
4,7,  6.66669,   46  , 9056,    1199
4,8,  4.10748,   29  , 9184,    1189
4,9,  2.95676,   17  , 9312,    1181
4,10,  1.45929,   17  , 9440,    1198
4,11,  0.901031,   13  , 9568,    1283
4,12,  0.736877,   13  , 9696,    1247
4,13,  0.716644,   13  , 9824,    1176
5,3,  45.0729,   345  , 9000,    1216
5,4,  89.1379,   8214  , 9128,    1212
5,5,  14.5237,   99  , 9256,    1232
5,6,  9.07071,   59  , 9384,    1218
5,7,  5.3591,   37  , 9512,    1308
5,8,  3.42331,   24  , 9640,    1222
5,9,  1.87643,   13  , 9768,    1221
5,10,  1.28867,   9  , 9896,    1288
5,11,  0.681183,   7  , 10024,    1299
5,12,  0.502075,   5  , 10152,    1262
5,13,  0.472717,   5  , 10280,    1327
6,3,  24.5576,   169  , 9720,    1370
6,4,  330.161,   8214  , 9848,    1310
6,5,  9.52206,   83  , 9976,    1304
6,6,  6.25592,   52  , 10104,    1282
6,7,  3.79947,   35  , 10232,    1254
6,8,  2.58847,   18  , 10360,    1292
6,9,  1.47452,   12  , 10488,    1259
6,10,  0.897369,   6  , 10616,    1343
6,11,  0.613586,   5  , 10744,    1361
6,12,  0.400085,   4  , 10872,    1328
6,13,  0.371124,   3  , 11000,    1307
7,3,  14.1832,   99  , 10304,    1327
7,4,  679.097,   8239  , 10432,    1331
7,5,  6.41977,   77  , 10560,    1422
7,6,  4.43121,   52  , 10688,    1376
7,7,  2.98587,   31  , 10816,    1281
7,8,  2.05981,   15  , 10944,    1314
7,9,  1.18643,   10  , 11072,    1394
7,10,  0.836365,   6  , 11200,    1339
7,11,  0.496185,   3  , 11328,    1368
7,12,  0.402679,   3  , 11456,    1349
7,13,  0.36377,   3  , 11584,    1368
8,3,  8.51843,   61  , 10760,    1377
8,4,  804.7,   8245  , 10888,    1336
8,5,  4.10089,   52  , 11016,    1280
8,6,  3.06799,   52  , 11144,    1335
8,7,  1.79312,   21  , 11272,    1254
8,8,  1.31815,   13  , 11400,    1369
8,9,  0.863037,   8  , 11528,    1431
