la,ld , ave ULP,  max ULP , comm,    time
4,9,  6.67554,   23  , 9704,   1619
4,9,  6.6723,   23  , 9704,   1609
4,9,  6.67474,   23  , 9704,   1528
4,9,  6.67615,   23  , 9704,   1547
4,9,  6.67381,   23  , 9704,   1431
4,10,  4.05164,   20  , 9760,   1575
4,10,  4.05237,   20  , 9760,   1542
4,10,  4.05359,   20  , 9760,   1486
4,10,  4.05048,   20  , 9760,   1537
4,10,  4.05391,   20  , 9760,   1441
4,11,  2.97829,   18  , 9824,   1420
4,11,  2.97786,   18  , 9824,   1447
4,11,  2.9798,   18  , 9824,   1544
4,11,  2.97935,   17  , 9824,   1381
4,11,  2.98215,   17  , 9824,   1433
4,12,  2.71387,   17  , 9888,   1340
4,12,  2.71352,   17  , 9888,   1353
4,12,  2.71648,   17  , 9888,   1379
4,12,  2.71672,   17  , 9888,   1366
4,12,  2.71556,   17  , 9888,   1391
5,9,  6.14928,   16  , 10088,   1423
5,9,  6.14771,   16  , 10088,   1421
5,9,  6.14682,   16  , 10088,   1395
5,9,  6.14893,   16  , 10088,   1379
5,9,  6.14815,   16  , 10088,   1409
5,10,  3.35103,   11  , 10144,   1435
5,10,  3.35266,   12  , 10144,   1463
5,10,  3.35114,   11  , 10144,   1444
5,10,  3.35112,   12  , 10144,   1398
5,10,  3.35098,   12  , 10144,   1456
5,11,  2.12741,   11  , 10208,   1416
5,11,  2.12825,   10  , 10208,   1393
5,11,  2.1257,   11  , 10208,   1382
5,11,  2.12987,   11  , 10208,   1437
5,11,  2.12898,   11  , 10208,   1421
5,12,  1.8808,   10  , 10272,   1441
5,12,  1.88348,   10  , 10272,   1471
5,12,  1.88275,   10  , 10272,   1500
5,12,  1.88181,   10  , 10272,   1499
5,12,  1.88179,   10  , 10272,   1450
6,9,  6.29721,   16  , 10472,   1463
6,9,  6.29643,   16  , 10472,   1565
6,9,  6.29767,   16  , 10472,   1496
6,9,  6.29607,   16  , 10472,   1524
6,9,  6.29533,   16  , 10472,   1483
6,10,  3.00992,   9  , 10528,   1607
6,10,  3.00888,   10  , 10528,   1674
6,10,  3.00557,   9  , 10528,   1505
6,10,  3.00917,   9  , 10528,   1528
6,10,  3.00626,   9  , 10528,   1456
6,11,  1.72408,   7  , 10592,   1449
6,11,  1.7253,   7  , 10592,   1462
6,11,  1.72745,   7  , 10592,   1484
6,11,  1.72156,   7  , 10592,   1595
6,11,  1.72531,   7  , 10592,   1550
6,12,  1.45546,   7  , 10656,   1541
6,12,  1.45496,   7  , 10656,   1531
6,12,  1.4545,   6  , 10656,   1609
6,12,  1.45778,   7  , 10656,   1501
6,12,  1.45729,   6  , 10656,   1445
7,9,  6.3732,   16  , 10856,   1464
7,9,  6.37166,   16  , 10856,   1512
7,9,  6.37337,   16  , 10856,   1537
7,9,  6.37312,   16  , 10856,   1523
7,9,  6.371,   16  , 10856,   1521
7,10,  2.89632,   8  , 10912,   1559
7,10,  2.89616,   8  , 10912,   1475
7,10,  2.89616,   8  , 10912,   1571
7,10,  2.89771,   8  , 10912,   1597
7,10,  2.89845,   8  , 10912,   1607
7,11,  1.56718,   6  , 10976,   1494
7,11,  1.56534,   6  , 10976,   1544
7,11,  1.56512,   6  , 10976,   1518
7,11,  1.56635,   6  , 10976,   1483
7,11,  1.56551,   6  , 10976,   1500
7,12,  1.30063,   5  , 11040,   1455
7,12,  1.30034,   5  , 11040,   1528
7,12,  1.29997,   5  , 11040,   1512
7,12,  1.29922,   5  , 11040,   1508
7,12,  1.29985,   5  , 11040,   1488
8,9,  6.84644,   16  , 11240,   1541
8,9,  6.84775,   16  , 11240,   1560
8,9,  6.84721,   16  , 11240,   1498
8,9,  6.84715,   16  , 11240,   1507
8,9,  6.84804,   16  , 11240,   1470
8,10,  2.74376,   8  , 11296,   1622
8,10,  2.7455,   8  , 11296,   1551
8,10,  2.74394,   8  , 11296,   1459
8,10,  2.74091,   8  , 11296,   1501
8,10,  2.74384,   8  , 11296,   1624
8,11,  1.55605,   5  , 11360,   1551
8,11,  1.5584,   5  , 11360,   1670
8,11,  1.55708,   5  , 11360,   1519
8,11,  1.55673,   5  , 11360,   1542
8,11,  1.55417,   5  , 11360,   1707
8,12,  1.25607,   4  , 11424,   1499
8,12,  1.25443,   4  , 11424,   1601
8,12,  1.25496,   4  , 11424,   1528
8,12,  1.25423,   4  , 11424,   1653
8,12,  1.2551,   4  , 11424,   1700
4,9,  27637.7,   244767  , 9704,   21375
4,9,  27637.7,   244767  , 9704,   21551
4,9,  14137.7,   121887  , 9704,   21810
4,9,  6.67134,   23  , 9704,   1641
4,9,  6.6765,   23  , 9704,   1470
4,9,  6.6734,   23  , 9704,   1441
