la,ld , ave ULP,  max ULP , comm,    time
3,3,  625.383,   1022  , 8664,    573
3,4,  313.522,   510  , 8720,    545
3,5,  147.803,   254  , 8784,    569
3,6,  62.8634,   126  , 8848,    544
3,7,  28.3813,   65  , 8912,    552
3,8,  12.5471,   41  , 8976,    524
3,9,  6.84711,   34  , 9040,    530
3,10,  4.69135,   33  , 9104,    523
3,11,  3.99118,   33  , 9168,    530
3,12,  3.85034,   33  , 9224,    543
3,13,  3.77725,   32  , 9288,    622
4,3,  575.581,   1022  , 9048,    524
4,4,  290.673,   510  , 9104,    537
4,5,  156.694,   254  , 9168,    534
4,6,  60.135,   126  , 9232,    529
4,7,  26.8272,   62  , 9296,    533
4,8,  12.4638,   32  , 9360,    523
4,9,  5.53342,   18  , 9424,    538
4,10,  3.15298,   17  , 9488,    575
4,11,  2.36841,   17  , 9552,    540
4,12,  2.19632,   17  , 9608,    557
4,13,  2.08536,   17  , 9672,    560
5,3,  546.001,   1022  , 9432,    580
5,4,  257.723,   510  , 9488,    535
5,5,  138.165,   254  , 9552,    536
5,6,  58.384,   126  , 9616,    529
5,7,  27.4916,   62  , 9680,    522
5,8,  12.3738,   30  , 9744,    544
5,9,  5.50406,   17  , 9808,    525
5,10,  2.59177,   10  , 9872,    535
5,11,  1.67371,   9  , 9936,    546
5,12,  1.39203,   9  , 9992,    564
5,13,  1.30896,   9  , 10056,    568
6,3,  528.785,   1022  , 9816,    542
6,4,  236.987,   510  , 9872,    550
6,5,  132.465,   254  , 9936,    548
6,6,  54.0782,   126  , 10000,    566
6,7,  25.1324,   62  , 10064,    586
6,8,  13.1584,   30  , 10128,    582
6,9,  4.97476,   14  , 10192,    579
6,10,  2.41858,   9  , 10256,    513
6,11,  1.41586,   6  , 10320,    556
6,12,  1.05569,   5  , 10376,    588
6,13,  1.00323,   5  , 10440,    582
7,3,  518.879,   1022  , 10200,    589
7,4,  227.554,   510  , 10256,    587
7,5,  100.206,   254  , 10320,    556
7,6,  50.1987,   126  , 10384,    563
7,7,  23.6903,   62  , 10448,    577
7,8,  12.9254,   30  , 10512,    573
7,9,  4.89099,   14  , 10576,    561
7,10,  2.51727,   7  , 10640,    597
7,11,  1.26447,   5  , 10704,    708
7,12,  0.836121,   4  , 10760,    603
7,13,  0.828064,   3  , 10824,    576
8,3,  507.634,   1022  , 10584,    590
8,4,  219.93,   510  , 10640,    596
8,5,  97.0258,   254  , 10704,    634
8,6,  44.2104,   126  , 10768,    582
8,7,  19.9953,   62  , 10832,    574
8,8,  11.5772,   30  , 10896,    577
8,9,  4.53839,   14  , 10960,    562
8,10,  2.55704,   7  , 11024,    564
8,11,  1.15875,   5  , 11088,    561
8,12,  0.83374,   4  , 11144,    573
8,13,  0.803101,   3  , 11208,    625
9,3,  510.415,   1022  , 11000,    622
9,4,  219.776,   510  , 11056,    600
9,5,  92.8382,   254  , 11120,    601
9,6,  41.0882,   126  , 11184,    569
9,7,  15.9405,   62  , 11248,    564
9,8,  7.81342,   30  , 11312,    631
9,9,  3.64023,   14  , 11376,    549
9,10,  2.40012,   6  , 11440,    567
9,11,  1.06424,   5  , 11504,    539
9,12,  0.769348,   3  , 11560,    561
9,13,  0.785797,   3  , 11624,    539
10,3,  508.364,   991  , 11384,    551
10,4,  218.283,   479  , 11440,    573
10,5,  91.4231,   223  , 11504,    567
10,6,  40.6934,   95  , 11568,    546
10,7,  16.4556,   33  , 11632,    547
10,8,  6.94351,   16  , 11696,    554
10,9,  3.53763,   9  , 11760,    549
10,10,  2.33017,   6  , 11824,    594
10,11,  1.31403,   5  , 11888,    563
